empid,firstname,lastname,startdate,exitdate,title,supervisor,ademail,businessunit,employeeclassificationtype,terminationdescription,division,dob,state,jobfunctiondescription,gendercode,locationcode,racedesc,maritaldesc,current_employee_rating,department_type_id,performance_id,termination_type_id,employee_status_id,employee_type_id,payzone_name_id,age,department_id,department_name,employee_status_type,employee_type,payzone_id,payzone_name,performance_score,termination_type,age_range,performance_score_decoded,tenure,tenure_in_years
3427,Uriah,Bridges,2019-09-20,2025-10-06,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Temporary,,Finance & Accounting,1969-10-07,MA,Accounting,Female,34904,White,Widowed,4,13,2,1,3,2,3,55,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,50s-60s,2,2208,6.049315068493151
3594,Maribel,Morrison,2018-12-11,2025-10-06,Production Technician I,Ashley Meyer,maribel.morrison@bilearner.com,PYZ,Part-Time,,Field Operations,1968-03-14,MA,Technician,Male,72888,Black,Married,1,13,3,1,3,1,1,57,13,Production       ,Active,Part-Time,1,Zone B,Needs Improvement,Unk,50s-60s,1,2491,6.824657534246575
3596,Kellen,Medina,2019-07-28,2025-10-06,Production Technician I,John Henry,kellen.medina@bilearner.com,NEL,Full-Time,,Splicing,1982-07-19,MA,Technician,Male,33998,Other,Single,2,13,3,1,3,1,3,43,13,Production       ,Active,Part-Time,3,Zone C,Needs Improvement,Unk,40s-50s,1,2262,6.197260273972603
3616,Ruben,Lewis,2022-02-12,2025-10-06,Production Technician I,Allison Tran,ruben.lewis@bilearner.com,SVG,Full-Time,,General - Con,1981-03-24,MA,Laborer,Female,14234,Hispanic,Married,4,13,2,1,3,2,3,44,13,Production       ,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,1332,3.649315068493151
2607,Lamont,Summers,2019-03-29,2025-10-06,Area Sales Manager,Jason Reeves,lamont.summers@bilearner.com,SVG,Part-Time,,Fielders,1976-10-14,AL,Engineer,Male,89972,White,Married,2,18,2,1,3,2,1,48,18,Sales,Active,Contract,1,Zone B,Fully Meets,Unk,40s-50s,2,2383,6.528767123287671
2608,Lewis,Hobbs,2020-10-25,2025-10-06,Area Sales Manager,Cynthia Hurley,lewis.hobbs@bilearner.com,EW,Full-Time,,Field Operations,1977-12-01,TN,Lineman,Male,47864,Asian,Married,4,18,2,1,3,2,2,47,18,Sales,Active,Contract,2,Zone A,Fully Meets,Unk,40s-50s,2,1807,4.950684931506849
2609,Harrison,Camacho,2019-12-06,2021-07-18,Area Sales Manager,Robert Thompson,harrison.camacho@bilearner.com,MSC,Temporary,Upon budget class college now this trade.,General - Sga,1971-08-13,TN,Administrative,Male,55114,Asian,Widowed,2,18,2,2,3,1,1,54,18,Sales,Active,Part-Time,1,Zone B,Fully Meets,Retirement,50s-60s,2,590,1.6164383561643836
2614,Andy,Stewart,2021-05-13,2025-10-06,Area Sales Manager,Jose Copeland,andy.stewart@bilearner.com,PL,Full-Time,,Field Operations,1987-03-14,ID,Foreman,Male,29887,Black,Divorced,5,18,2,1,3,1,2,38,18,Sales,Active,Part-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,1607,4.402739726027397
2616,Destiney,Navarro,2019-08-14,2022-09-04,Administrative Assistant,Gary Ortiz,destiney.navarro@bilearner.com,CCDR,Part-Time,Still box ten network apply.,Engineers,1972-12-18,WA,Engineer,Female,62733,Black,Married,1,18,2,3,3,3,2,52,18,Sales,Active,Full-Time,2,Zone A,Fully Meets,Involuntary,50s-60s,2,1117,3.0602739726027397
2617,Yadira,Barron,2020-08-02,2022-12-30,Administrative Assistant,Tanya Wilson,yadira.barron@bilearner.com,SVG,Full-Time,Piece manage well onto.,Catv,1995-04-26,WA,Foreman,Female,78047,Hispanic,Single,4,18,2,2,3,3,3,30,18,Sales,Active,Full-Time,3,Zone C,Fully Meets,Retirement,30s-40s,2,880,2.410958904109589
2620,Kaylin,Dillon,2021-03-04,2025-10-06,Area Sales Manager,Sarah Bates,kaylin.dillon@bilearner.com,NEL,Full-Time,,General - Con,1973-10-02,MA,Laborer,Male,14776,Asian,Married,1,18,2,1,3,3,1,51,18,Sales,Active,Full-Time,1,Zone B,Fully Meets,Unk,50s-60s,2,1677,4.594520547945206
2622,Mary,Moore,2020-07-20,2025-10-06,Area Sales Manager,Sheila Taylor,mary.moore@bilearner.com,BPC,Full-Time,,Executive,1991-09-30,AZ,Vp,Male,95143,Asian,Widowed,4,18,2,1,3,2,1,33,18,Sales,Active,Contract,1,Zone B,Fully Meets,Unk,30s-40s,2,1904,5.2164383561643834
2624,Charles,Howard,2023-06-11,2023-07-28,Area Sales Manager,Janet Andrews,charles.howard@bilearner.com,SVG,Temporary,Simple them do consider grow.,Wireline Construction,1984-07-22,AL,Supervisor,Male,12964,Other,Single,2,18,2,2,3,1,3,41,18,Sales,Active,Part-Time,3,Zone C,Fully Meets,Retirement,40s-50s,2,47,0.12876712328767123
2626,Jordyn,Mcguire,2020-03-02,2022-05-27,Area Sales Manager,Kenneth Perry,jordyn.mcguire@bilearner.com,MSC,Temporary,Never whatever loss economic off without cause.,Project Management - Con,1976-09-04,TN,Manager,Male,11087,Asian,Widowed,4,18,2,4,3,3,3,49,18,Sales,Active,Full-Time,3,Zone C,Fully Meets,Resignation,40s-50s,2,816,2.2356164383561645
3654,Cassius,Gates,2022-11-23,2025-10-06,Production Technician I,Jody Cox,cassius.gates@bilearner.com,PYZ,Part-Time,,Aerial,1995-03-30,MA,Lineman,Male,17975,Asian,Divorced,4,13,4,1,3,1,2,30,13,Production       ,Active,Part-Time,2,Zone A,Exceeds,Unk,30s-40s,3,1048,2.871232876712329
2627,Valentino,Myers,2023-01-29,2023-05-24,Area Sales Manager,Michael Taylor,valentino.myers@bilearner.com,TNS,Part-Time,Key as eye past. Three would affect about.,Wireline Construction,1990-05-26,TN,Foreman,Male,43552,Other,Divorced,4,18,2,2,3,3,3,35,18,Sales,Active,Full-Time,3,Zone C,Fully Meets,Retirement,30s-40s,2,115,0.3150684931506849
2628,Charles,Coleman,2021-12-07,2025-10-06,Area Sales Manager,Thomas Roberts,charles.coleman@bilearner.com,BPC,Temporary,,Sales & Marketing,1991-11-19,TN,Vp,Male,33113,Hispanic,Divorced,2,18,2,1,3,1,2,33,18,Sales,Active,Part-Time,2,Zone A,Fully Meets,Unk,30s-40s,2,1399,3.8328767123287673
2629,Kamden,Cummings,2023-03-19,2023-07-11,Area Sales Manager,Stephen Green,kamden.cummings@bilearner.com,CCDR,Temporary,Hot key speak song thus her member.,Underground,1975-02-04,ID,Laborer,Male,12650,White,Single,1,18,2,2,3,2,1,50,18,Sales,Active,Contract,1,Zone B,Fully Meets,Retirement,50s-60s,2,114,0.31232876712328766
2630,Kiley,Wagner,2022-06-10,2023-02-14,Area Sales Manager,Andrea Dean,kiley.wagner@bilearner.com,EW,Full-Time,Force way bank trade.,Field Operations,1994-11-04,ID,Laborer,Male,34069,Asian,Widowed,5,18,2,3,3,1,1,30,18,Sales,Active,Part-Time,1,Zone B,Fully Meets,Involuntary,30s-40s,2,249,0.6821917808219178
2632,Madeline,Suarez,2022-03-06,2025-10-06,Administrative Assistant,Joshua Carpenter,madeline.suarez@bilearner.com,NEL,Part-Time,,Field Operations,1975-10-20,WA,Foreman,Female,92311,Hispanic,Divorced,4,18,2,1,3,2,3,49,18,Sales,Active,Contract,3,Zone C,Fully Meets,Unk,40s-50s,2,1310,3.589041095890411
2633,Zain,Nolan,2022-08-08,2025-10-06,Administrative Assistant,Steven Hall,zain.nolan@bilearner.com,PL,Full-Time,,Project Management - Con,1985-09-09,WA,Manager,Female,10525,White,Single,5,18,2,1,3,1,3,40,18,Sales,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,1155,3.164383561643836
2636,Gwendolyn,Hogan,2018-09-13,2020-11-04,Area Sales Manager,Jason Hayes,gwendolyn.hogan@bilearner.com,PYZ,Temporary,Almost across fly recent go.,General - Eng,1970-11-20,MA,Technician,Male,12113,Asian,Married,5,18,2,4,3,3,1,54,18,Sales,Active,Full-Time,1,Zone B,Fully Meets,Resignation,50s-60s,2,783,2.1452054794520548
2637,Kaia,Hernandez,2022-11-16,2025-10-06,Area Sales Manager,Troy Bennett,kaia.hernandez@bilearner.com,WBL,Temporary,,Project Management - Con,1967-10-04,MA,Supervisor,Male,39143,Asian,Divorced,5,18,2,1,3,2,2,57,18,Sales,Active,Contract,2,Zone A,Fully Meets,Unk,50s-60s,2,1055,2.8904109589041096
2639,Simeon,Roy,2020-09-29,2025-10-06,Area Sales Manager,Sandra Young,simeon.roy@bilearner.com,PL,Temporary,,Project Management - Con,1975-09-22,AZ,Manager,Male,56991,Asian,Married,2,18,2,1,3,1,3,49,18,Sales,Active,Part-Time,3,Zone C,Fully Meets,Unk,40s-50s,2,1833,5.021917808219178
2641,Gwendolyn,Mccall,2021-04-28,2022-03-22,Area Sales Manager,Lisa Dyer,gwendolyn.mccall@bilearner.com,CCDR,Full-Time,Politics suggest company trade treat region.,Aerial,1975-07-20,AZ,Groundman,Male,23897,Asian,Married,2,18,2,5,3,3,2,50,18,Sales,Active,Full-Time,2,Zone A,Fully Meets,Voluntary,50s-60s,2,328,0.8986301369863013
2643,Katelyn,Brown,2022-04-15,2022-10-10,Area Sales Manager,Deborah Stephens,katelyn.brown@bilearner.com,EW,Temporary,Likely debate ever college strategy way can.,Wireline Construction,1966-12-24,TN,Clerical,Male,60277,Black,Divorced,5,18,2,5,3,3,2,58,18,Sales,Active,Full-Time,2,Zone A,Fully Meets,Voluntary,50s-60s,2,178,0.4876712328767123
